data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;;
2023-04-01 01:33:39.110;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;27/03/1979;R RIACHUELO;483.0;483.0;NÃO;R GEN PORTINHO;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.111;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;N/P DO SEMAFORO;28/03/1979;R RIACHUELO;1190.0;1190.0;SIM;R GEN CAMARA;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.111;PROIBIDO ESTACIONAR;INSTALADO;;30/03/1979;AV SENADOR SALGADO FILHO;101.0;0.0;NÃO;R VIGARIO JOSE IGNACIO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.111;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;30/03/1979;R CEL FERNANDO MACHADO;400.0;0.0;SIM;R GEN BENTO MARTINS;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PARADA OBRIGATÓRIA;INSTALADO;;03/05/1979;R BUARQUE DE MACEDO;99.0;99.0;NÃO;AV PERNAMBUCO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;03/05/1979;AV GUIDO MONDIN;1005.0;0.0;NÃO;AV CEARA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;04/05/1979;R CONDE DE PORTO ALEGRE;377.0;0.0;NÃO;TRAV AZEVEDO;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PROIBIDO ESTACIONAR;INSTALADO;;04/05/1979;AV BENJAMIN CONSTANT;1819.0;1835.0;NÃO;AV CRISTOVAO COLOMBO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.113;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;07/05/1979;R LUCIANA DE ABREU;471.0;471.0;NÃO;R VINTE QUATRO DE OUTUBRO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.113;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;07/05/1979;R MOSTARDEIRO;597.0;597.0;NÃO;AV GOETHE;IMPAR;CRESCENTE;CANTEIRO CENTRAL ;;
